film,review
The Last of the Mohicans,"Sequence perang nya nice, sama ada adegan loncat bunuh diri dari tebing itu jarang banget di film western yg pernah w tonton jadi lumayan shocking. Ending nya potensial bleak (Hawkeye dibakar sebagai ganti squawk bebas) tapi malah jadi payah 🙄 kayak momen nya udah di bangun bleak lah ending nya digampangin gitu, mood rusak banget kawan, padahal bisa jadi film romance tragedy aja. Terus apa yg terjadi dengan emosi bapak yg anak dan kekasihnya yg ikutan loncat tebing itu, halach ga di up sama writer nya payah emang. Kayak target filmnya tuh harus dibikin balance"
The Last of the Mohicans,"I found director George Seitz and editor Harry Marker continually undercutting what few good scenes there are, the Fort Henry attack, the dramatic cliff deaths,Duncan‘s heroic gambit, old native women mutilatingHawkeyesgenitalia, very frustrating for a film I was trying desperately to lock in to. (Note: all of those happen in the last 30 minutes of the film)Clearly I’m not as taken with this story as others.*Randy Scott’s long wavy hair is sexy asfuck.**Skinny Bruce Cabot asMaguain a Mohawk bald cap, less so."
The Last of the Mohicans,Thanks to the Video Archives Podcast for the recommendation.
The Last of the Mohicans,"Pulpy with lots of action, but white Randolph Scott's Hawkeye leads the charge through fights and chases. The fight choreography is rudimentary, the film maintains a consistent level of energy."
The Last of the Mohicans,"1st Movie in the Video Archives episode where American frontier adventure is definitely a theme.The other two, Northwest Passage and Kit Carson, were both decent as was this version of Last of the Mohicans.I do love the story but the lighting is strange and of course the camera framing is old fashioned and there are several blue-eyed Indians.But it was decent. This is the first Video Archives episode where I do not have a clear favourite.All OK."
The Last of the Mohicans,Will the real Hawkeye please stand up?
The Last of the Mohicans,i didn’t want the mohicans to end.
The Last of the Mohicans,Watching anyone in this films acting as they get shot is pure comedy.
The Last of the Mohicans,could barely hear and racist BOOOOOO
The Last of the Mohicans,"Breezy, if somewhat unremarkable adaptation of the classic novel."
The Last of the Mohicans,"I read Jane Austen’s Persuasion in college, and I don’t remember much, but the protagonist’s father has always stuck with me. A pathetic character who preferred to immerse himself in the past rather than face the reality of his present. Anyway, I’ve been really digging old movies recently for some reason."
The Last of the Mohicans,A relentless entertainment machine.
